
11055,13:23:08,09/02/18
1105501,13:23:11,09/02/18
2,13:23:11,09/02/18
1,13:23:13,09/02/18
2,13:23:14,09/02/18
3,13:23:15,09/02/18
4,13:23:15,09/02/18
5,13:23:16,09/02/18
6,13:23:16,09/02/18
7,13:23:17,09/02/18
8,13:23:17,09/02/18
9,13:23:18,09/02/18
11055,13:23:52,09/02/18
11,13:29:05,09/02/18
22,13:29:07,09/02/18
11055,13:35:51,09/02/18
11055,13:54:53,09/02/18
11055,15:19:45,09/02/18
11055,15:48:57,09/02/18
222,15:49:06,09/02/18
3,15:49:13,09/02/18
3,15:49:21,09/02/18
11066,15:50:42,09/02/18
11055,15:56:52,09/02/18
11,15:56:54,09/02/18
1,15:56:54,09/02/18
1,15:56:54,09/02/18
1,15:56:55,09/02/18
1,15:56:55,09/02/18
1,15:56:55,09/02/18
1,15:56:55,09/02/18
1,15:56:55,09/02/18
1,15:56:55,09/02/18
1,15:56:55,09/02/18
1,15:56:56,09/02/18
1,15:56:56,09/02/18
1,15:56:56,09/02/18
1,15:56:56,09/02/18
1,15:56:56,09/02/18
1,15:56:57,09/02/18
1,15:56:57,09/02/18
1,15:56:57,09/02/18
1,15:56:57,09/02/18
1,15:56:57,09/02/18
12132,15:56:58,09/02/18
,15:56:58,09/02/18
11055,16:14:42,09/02/18
11055,16:14:44,09/02/18
11005,16:14:45,09/02/18
11055,16:15:07,09/02/18
11055,16:15:09,09/02/18
11055,16:28:39,09/02/18
110550,08:57:13,12/02/18
1100,08:57:14,12/02/18
,08:57:15,12/02/18
14,08:57:15,12/02/18
14,08:57:15,12/02/18
1,08:57:15,12/02/18
1,08:57:15,12/02/18
1,08:57:15,12/02/18
1,08:57:15,12/02/18
1,08:57:16,12/02/18
1,08:57:16,12/02/18
11,08:57:16,12/02/18
1,08:57:16,12/02/18
1,08:57:16,12/02/18
1,08:57:16,12/02/18
1,08:57:17,12/02/18
1,08:57:17,12/02/18
1,08:57:17,12/02/18
1,08:57:17,12/02/18
1,08:57:17,12/02/18
1,08:57:17,12/02/18
1,08:57:17,12/02/18
